Data,Taxa de cambio (Reais/USD) comercial compra media,Taxa de cambio - Reais/USD comercial compra fim periodo,PIB - Reais - Banco Central do Brasil,PIB (acumulado em 12 meses),Exportacoes - (FOB),Taxa de cambio efetiva real
31/12/2011,1.8362,1.8751,391595.1,4376382,21999.06258,75.32240687
31/03/2012,1.7947,1.8215,392996.5,4489323.3,20739.3685,79.67311807
30/06/2012,2.04857,2.0207,398714.5,4585734.8,19181.68951,82.79682399
30/09/2012,2.0275,2.03,393524.7,4703853.4,19890.11614,90.94514778
31/12/2012,2.07724,2.0429,423195.9,4814760,19684.36853,100.5984496
31/03/2013,1.98227,2.0132,427409.8,4926899.9,18360.47043,84.58740052
30/06/2013,2.172375,2.215,442857,5066354.6,19331.84144,85.30773062
30/09/2013,2.2699,2.2294,438766.7,5190040.1,20745.60246,89.75965566
31/12/2013,2.344861905,2.342,473552.5,5331619,19537.52349,86.71752019
31/03/2014,2.325494737,2.2624,462159.8,5475984.2,17467.72789,86.28008118
30/06/2014,2.23486,2.2019,458516.5,5575724,20288.07546,96.41226815
30/09/2014,2.332254545,2.4504,476520.6,5683715.4,19370.17426,118.1101705
31/12/2014,2.638736364,2.6556,499867.7,5778953,17289.83172,149.1137505
31/03/2015,3.138863636,3.2074,501752.2,5849640.2,16748.83111,181.5906851
30/06/2015,3.11112381,3.1019,486647.5,5907297,18746.12744,158.5409316
30/09/2015,3.905809524,3.9722,496004.7,5953399.7,15467.63557,196.6665364
31/12/2015,3.870495455,3.9042,521918.7,5995787,15694.23003,207.8061995
31/03/2016,3.703309091,3.5583,516985.9,6039388.8,15845.53995,194.718978
30/06/2016,3.423877273,3.2092,536459.3,6118430.6,16602.94576,179.8001752
30/09/2016,3.255771429,3.2456,509975,6187372.5,15684.37528,162.8592364
31/12/2016,3.351668182,3.2585,565780.5,6269328,15773.20527,121.2377581
31/03/2017,3.127330435,3.1678,544312.9,6354866,19854.73771,103.6284895
30/06/2017,3.294766667,3.3076,556787.6,6426699.7,19535.15181,158.2789862
30/09/2017,3.13419,3.1674,528871.2,6498164.7,18533.21414,130.2522465
31/12/2017,3.29131,3.3074,588892.8,6585479,17476.27464,144.3131353
31/03/2018,3.278614286,3.3232,560120.7,6681251.5,20228.66365,152.0035001
30/06/2018,3.772571429,3.8552,580697.8,6784061.9,19830.02139,162.879797
30/09/2018,4.115947368,4.0033,556776.6,6903300.7,19041.02354,153.576958
31/12/2018,3.882136364,3.8742,603155.2,7004141,19257.63415,142.12607
31/03/2019,3.845884211,3.8961,579172.6,7081874.8,17308.72162,126.8756872
30/06/2019,3.858226316,3.8316,598283,7176976.1,18306.72169,100.2176359
30/09/2019,4.1209,4.1638,614187.9,7289734.2,18620.81437,110.9315707
31/12/2019,4.10892381,4.0301,646343.1,7389131,18463.26859,120.6810951
31/03/2020,4.883218182,5.1981,616335.3,7475379.9,18312.35035,127.4458771
30/06/2020,5.195995238,5.4754,591537.3,7369064.1,17478.97134,106.3605394
30/09/2020,5.398880952,5.6401,635263.9,7376674.4,18223.38771,90.07193155
31/12/2020,5.144945455,5.1961,685042.6,7467616.4,18451.70893,80.48634442
31/03/2021,5.645547826,5.6967,735993.6,7688009.6,24335.75985,75.59013811
30/06/2021,5.031304762,5.0016,714819.7,8106164.1,28257.89514,58.19271818
30/09/2021,5.279090476,5.4388,731846,8433106.5,24376.12951,96.23270698
31/12/2021,5.650604348,5.5799,762978.3,8679489.6,24432.40678,112.7561086
31/03/2022,4.967781818,4.7372,816809.8,8862760.2,29453.00077,
